,neighborhood,crash,fallen_occupant,other,overturning,run_over
248,Vereda Chuscal,1,0,0,0,0
249,Versalles No.1,224,72,82,19,124
250,Versalles No.2,26,2,4,3,15
251,Villa Carlota,1746,95,128,50,70
252,Villa Flora,72,21,20,3,18
253,Villa Guadalupe,160,59,64,16,101
254,Villa Hermosa,270,66,73,22,106
255,Villa Lilliam,8,1,1,1,7
256,Villa Niza,70,16,12,2,25
257,Villa del Socorro,226,63,63,10,112
258,Villatina,62,24,18,9,29
259,Yolombo,6,0,1,1,0
260,Zenú,33,3,3,2,4
